(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python resnet50_cifar10_ablation.py
=== [CIFAR-10] COMPREHENSIVE RESNET-50 ABLATION STUDY STARTING ===
Files already downloaded and verified
Files already downloaded and verified

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 1/5)
Downloading: "https://download.pytorch.org/models/resnet50-0676ba61.pth" to C:\Users\ASUS-WORKSTATION/.cache\torch\hub\checkpoints\resnet50-0676ba61.pth
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 97.8M/97.8M [00:09<00:00, 11.0MB/s]
    Epoch [01/20] | Train Loss: 0.5873 - Acc: 80.63% | Val Loss: 0.2645 - Acc: 91.21% | F1: 0.9121
    Epoch [02/20] | Train Loss: 0.2310 - Acc: 92.29% | Val Loss: 0.2540 - Acc: 91.69% | F1: 0.9168
    Epoch [03/20] | Train Loss: 0.1652 - Acc: 94.65% | Val Loss: 0.2169 - Acc: 93.03% | F1: 0.9305
    Epoch [04/20] | Train Loss: 0.1404 - Acc: 95.36% | Val Loss: 0.2670 - Acc: 91.85% | F1: 0.9192
    Epoch [05/20] | Train Loss: 0.1132 - Acc: 96.25% | Val Loss: 0.2266 - Acc: 92.84% | F1: 0.9280
    Epoch [06/20] | Train Loss: 0.0992 - Acc: 96.66% | Val Loss: 0.2282 - Acc: 93.25% | F1: 0.9328
    Epoch [07/20] | Train Loss: 0.0918 - Acc: 96.88% | Val Loss: 0.2188 - Acc: 93.40% | F1: 0.9341
    Epoch [08/20] | Train Loss: 0.0862 - Acc: 97.10% | Val Loss: 0.2272 - Acc: 93.18% | F1: 0.9321
    Epoch [09/20] | Train Loss: 0.0705 - Acc: 97.61% | Val Loss: 0.2461 - Acc: 93.03% | F1: 0.9304
    Epoch [10/20] | Train Loss: 0.0619 - Acc: 97.94% | Val Loss: 0.2042 - Acc: 94.16% | F1: 0.9413
    Epoch [11/20] | Train Loss: 0.0682 - Acc: 97.75% | Val Loss: 0.2206 - Acc: 93.58% | F1: 0.9356
    Epoch [12/20] | Train Loss: 0.0511 - Acc: 98.35% | Val Loss: 0.2278 - Acc: 93.66% | F1: 0.9364
    Epoch [13/20] | Train Loss: 0.0486 - Acc: 98.37% | Val Loss: 0.2090 - Acc: 94.23% | F1: 0.9421
    Epoch [14/20] | Train Loss: 0.0452 - Acc: 98.54% | Val Loss: 0.2081 - Acc: 94.17% | F1: 0.9418
    Epoch [15/20] | Train Loss: 0.0404 - Acc: 98.62% | Val Loss: 0.2478 - Acc: 93.51% | F1: 0.9351
    Epoch [16/20] | Train Loss: 0.0410 - Acc: 98.63% | Val Loss: 0.2266 - Acc: 94.08% | F1: 0.9405
    Epoch [17/20] | Train Loss: 0.0433 - Acc: 98.57% | Val Loss: 0.1956 - Acc: 94.65% | F1: 0.9463
    Epoch [18/20] | Train Loss: 0.0336 - Acc: 98.88% | Val Loss: 0.2400 - Acc: 93.63% | F1: 0.9362
    Epoch [19/20] | Train Loss: 0.0340 - Acc: 98.90% | Val Loss: 0.2259 - Acc: 94.04% | F1: 0.9403
    Epoch [20/20] | Train Loss: 0.0304 - Acc: 99.00% | Val Loss: 0.2244 - Acc: 94.14% | F1: 0.9414

[CIFAR-10] Proposed ResNet50 + BCT + KAN Training (Run 4/5)
    Epoch [01/20] | Train Loss: 0.6009 - Acc: 80.03% | Val Loss: 0.2721 - Acc: 91.26% | F1: 0.9126
    Epoch [02/20] | Train Loss: 0.2421 - Acc: 92.01% | Val Loss: 0.2398 - Acc: 92.08% | F1: 0.9207
    Epoch [03/20] | Train Loss: 0.1769 - Acc: 94.16% | Val Loss: 0.2250 - Acc: 92.64% | F1: 0.9263
