(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python isic2019_vit_bct_mlp_ablation.py
=== [ISIC 2019] VI+BCT+MLP ABLATION STUDY STARTING ===
>> ISIC 2019 dataset is already prepared at './data/ISIC2019'. Skipping download.
>> Computed Class Weights for 8 classes: tensor([ 3.6499,  0.9530,  1.2068, 13.2618,  0.7001,  0.2459,  5.0458, 12.5396])

[ISIC 2019] Baseline ViT + MLP (Run 1/5)
    Epoch [16/20] | Train Loss: 0.0991 | Val Acc: 78.35% | Macro F1: 0.6818 | Prec: 0.7096 | Rec: 0.7033
    Epoch [17/20] | Train Loss: 0.1764 | Val Acc: 81.76% | Macro F1: 0.7577 | Prec: 0.7489 | Rec: 0.7732
    Epoch [18/20] | Train Loss: 0.0487 | Val Acc: 81.51% | Macro F1: 0.7580 | Prec: 0.7664 | Rec: 0.7616
    Epoch [19/20] | Train Loss: 0.1479 | Val Acc: 82.20% | Macro F1: 0.7660 | Prec: 0.7546 | Rec: 0.7831
    Epoch [20/20] | Train Loss: 0.0721 | Val Acc: 82.46% | Macro F1: 0.7633 | Prec: 0.7703 | Rec: 0.7594

[ISIC 2019] Proposed ViT + BCT + MLP (Run 3/5)
    Epoch [01/20] | Train Loss: 1.3131 | Val Acc: 64.42% | Macro F1: 0.5226 | Prec: 0.4919 | Rec: 0.6233
    Epoch [02/20] | Train Loss: 0.9756 | Val Acc: 65.34% | Macro F1: 0.5408 | Prec: 0.5558 | Rec: 0.6440
    Epoch [03/20] | Train Loss: 0.7641 | Val Acc: 70.55% | Macro F1: 0.6337 | Prec: 0.5968 | Rec: 0.7125
    Epoch [04/20] | Train Loss: 0.6408 | Val Acc: 71.96% | Macro F1: 0.6327 | Prec: 0.6013 | Rec: 0.7154
    Epoch [05/20] | Train Loss: 0.5376 | Val Acc: 72.35% | Macro F1: 0.6492 | Prec: 0.6525 | Rec: 0.7100
    Epoch [06/20] | Train Loss: 0.4125 | Val Acc: 73.51% | Macro F1: 0.6805 | Prec: 0.6596 | Rec: 0.7172
    Epoch [07/20] | Train Loss: 0.3461 | Val Acc: 71.11% | Macro F1: 0.6236 | Prec: 0.6447 | Rec: 0.6352
    Epoch [08/20] | Train Loss: 0.3198 | Val Acc: 74.17% | Macro F1: 0.7079 | Prec: 0.6810 | Rec: 0.7564
    Epoch [09/20] | Train Loss: 0.2268 | Val Acc: 79.55% | Macro F1: 0.7249 | Prec: 0.7167 | Rec: 0.7396
    Epoch [10/20] | Train Loss: 0.2110 | Val Acc: 77.28% | Macro F1: 0.6860 | Prec: 0.6507 | Rec: 0.7469
    Epoch [11/20] | Train Loss: 0.2375 | Val Acc: 76.18% | Macro F1: 0.7268 | Prec: 0.7139 | Rec: 0.7566
    Epoch [12/20] | Train Loss: 0.1334 | Val Acc: 80.07% | Macro F1: 0.7518 | Prec: 0.7614 | Rec: 0.7562
    Epoch [13/20] | Train Loss: 0.1502 | Val Acc: 73.83% | Macro F1: 0.6337 | Prec: 0.6163 | Rec: 0.7174
    Epoch [14/20] | Train Loss: 0.1954 | Val Acc: 78.84% | Macro F1: 0.7054 | Prec: 0.6798 | Rec: 0.7596
    Epoch [15/20] | Train Loss: 0.1430 | Val Acc: 79.61% | Macro F1: 0.7471 | Prec: 0.7447 | Rec: 0.7563
    Epoch [16/20] | Train Loss: 0.1205 | Val Acc: 80.99% | Macro F1: 0.7354 | Prec: 0.7467 | Rec: 0.7370
    Epoch [17/20] | Train Loss: 0.0928 | Val Acc: 79.89% | Macro F1: 0.7458 | Prec: 0.7398 | Rec: 0.7720
    Epoch [18/20] | Train Loss: 0.1411 | Val Acc: 78.53% | Macro F1: 0.7054 | Prec: 0.6784 | Rec: 0.7677
    Epoch [19/20] | Train Loss: 0.1631 | Val Acc: 78.29% | Macro F1: 0.6843 | Prec: 0.6542 | Rec: 0.7479
    Epoch [20/20] | Train Loss: 0.1124 | Val Acc: 79.77% | Macro F1: 0.7294 | Prec: 0.7359 | Rec: 0.7361

[ISIC 2019] Proposed ViT + BCT + MLP (Run 4/5)
    Epoch [01/20] | Train Loss: 1.3290 | Val Acc: 62.11% | Macro F1: 0.5461 | Prec: 0.4990 | Rec: 0.6673
    Epoch [02/20] | Train Loss: 0.9531 | Val Acc: 69.53% | Macro F1: 0.5727 | Prec: 0.5517 | Rec: 0.6730
    Epoch [03/20] | Train Loss: 0.7438 | Val Acc: 65.09% | Macro F1: 0.5616 | Prec: 0.5624 | Rec: 0.6533
    Epoch [04/20] | Train Loss: 0.6417 | Val Acc: 65.58% | Macro F1: 0.5873 | Prec: 0.5567 | Rec: 0.6904
    Epoch [05/20] | Train Loss: 0.5198 | Val Acc: 75.63% | Macro F1: 0.6845 | Prec: 0.6600 | Rec: 0.7268
    Epoch [06/20] | Train Loss: 0.4122 | Val Acc: 74.30% | Macro F1: 0.6628 | Prec: 0.6277 | Rec: 0.7430
    Epoch [07/20] | Train Loss: 0.3398 | Val Acc: 76.28% | Macro F1: 0.7322 | Prec: 0.7367 | Rec: 0.7438
    Epoch [08/20] | Train Loss: 0.2779 | Val Acc: 69.69% | Macro F1: 0.6866 | Prec: 0.6981 | Rec: 0.7226
    Epoch [09/20] | Train Loss: 0.2471 | Val Acc: 78.05% | Macro F1: 0.6898 | Prec: 0.6841 | Rec: 0.7215
    Epoch [10/20] | Train Loss: 0.2116 | Val Acc: 76.73% | Macro F1: 0.7170 | Prec: 0.7017 | Rec: 0.7522
    Epoch [11/20] | Train Loss: 0.2352 | Val Acc: 78.57% | Macro F1: 0.7185 | Prec: 0.6855 | Rec: 0.7902
    Epoch [12/20] | Train Loss: 0.1820 | Val Acc: 77.42% | Macro F1: 0.7117 | Prec: 0.6920 | Rec: 0.7564
    Epoch [13/20] | Train Loss: 0.1367 | Val Acc: 78.96% | Macro F1: 0.7020 | Prec: 0.7085 | Rec: 0.7381
    Epoch [14/20] | Train Loss: 0.1102 | Val Acc: 74.13% | Macro F1: 0.7090 | Prec: 0.6890 | Rec: 0.7526
    Epoch [15/20] | Train Loss: 0.1272 | Val Acc: 79.79% | Macro F1: 0.7439 | Prec: 0.7610 | Rec: 0.7376
    Epoch [16/20] | Train Loss: 0.1258 | Val Acc: 78.43% | Macro F1: 0.7362 | Prec: 0.7180 | Rec: 0.7643
    Epoch [17/20] | Train Loss: 0.0856 | Val Acc: 77.99% | Macro F1: 0.7145 | Prec: 0.6816 | Rec: 0.7749
    Epoch [18/20] | Train Loss: 0.1329 | Val Acc: 79.53% | Macro F1: 0.7395 | Prec: 0.7204 | Rec: 0.7697
    Epoch [19/20] | Train Loss: 0.1384 | Val Acc: 77.72% | Macro F1: 0.7492 | Prec: 0.7524 | Rec: 0.7567
